PROVIDER_ID|PROV_ADD_ID|ADDRESS_TYPE_CD|ADDRESS_LINE_1|ADDRESS_LINE_2|CITY|STATE_CD|ZIP|PHONE|PHONE_EXT|FAX|COUNTY|EFFECTIVE_DT|TERM_DT|COUNTRY_CD
000000010005^EHI0NA|PRI^20040101_000000.|Physical|1225 Graham Rd.|Ste. 1330-C|Florissant|MO|63031|3148385702||3148395596|Saint Louis|2004-01-01|9999-12-31|
000000010005^EHI0NA|RMT^20040101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2004-01-01|9999-12-31|
000000010007^EHI0NA|PRI^20040101_000000.|Physical|1225 Graham Rd.|Ste. 1330-C|Florissant|MO|63031|3148385702||3148395596|Saint Louis|2004-01-01|9999-12-31|
000000010007^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2000-01-01|9999-12-31|
000000010008^EHI0NA|PRI^20040101_000000.|Physical|1225 Graham Rd.|Ste. 1330-C|Florissant|MO|63031|3148385702||3148395596|Saint Louis|2004-01-01|9999-12-31|
000000010008^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2000-01-01|9999-12-31|
000000010009^EHI0NA|PRI^20040101_000000.|Physical|1027 Bellevue Ave.|Ste. 107|Saint Louis|MO|63117|3146453743||3146477967|Saint Louis|2004-01-01|9999-12-31|
000000010009^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2000-01-01|9999-12-31|
000000010010^EHI0NA|PRI^20040101_000000.|Physical|12255 DePaul Dr.|Ste. 700|Bridgeton|MO|63044|3147394166||3147392485|Saint Louis|2004-01-01|9999-12-31|
000000010010^EHI0NA|RMT^20040101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156-3340|3148511069||3148514449|Saint Louis City|2004-01-01|9999-12-31|
000000010012^EHI0NA|PRI^20040101_000000.|Physical|5034 Griffin Rd.||Saint Louis|MO|63128|3148437333||3148439946|Saint Louis|2004-01-01|9999-12-31|
000000010012^EHI0NA|RMT^20100701_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2010-07-01|9999-12-31|
000000010015^EHI0NA|PRI^20040101_000000.|Physical|13303 Tesson Ferry Rd.|Ste. 150|Saint Louis|MO|63128|3148424744||3148423835|Saint Louis|2004-01-01|9999-12-31|
000000010015^EHI0NA|RMT^20040101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2004-01-01|9999-12-31|
000000010017^EHI0NA|PO1^20000101_000000.|Physical|1011 Bowles Ave.|Ste. 450|Fenton|MO|63026-2387|3144671500||3148423835|Saint Louis|2000-01-01|9999-12-31|
000000010017^EHI0NA|PRI^20040101_000000.|Physical|13303 Tesson Ferry Rd.|Ste. 150|Saint Louis|MO|63128|3148424744||3148423835|Saint Louis|2004-01-01|9999-12-31|
000000010017^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2000-01-01|9999-12-31|
000000010018^EHI0NA|PRI^20040101_000000.|Physical|1585 Woodlake Dr.|Ste. 100|Chesterfield|MO|63017|3144344278||3148514466|Saint Louis|2004-01-01|9999-12-31|
000000010018^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2000-01-01|9999-12-31|
000000010019^EHI0NA|PRI^20040101_000000.|Physical|2900 Frank Scott Pkwy. W|Ste. 904|Belleville|IL|62223|6182340640||3148514475|Saint Clair|2004-01-01|9999-12-31|
000000010019^EHI0NA|RMT^20000101_000000.|Mailing|PO Box 23340||Saint Louis|MO|63156|3148511069||3148514449|Saint Louis City|2000-01-01|9999-12-31|
000000010021^EHI0NA|PO1^20090801_000000.|Physical|4800 Mexico Rd.|Ste. 102|Saint Peters|MO|63376|6364410067||6364411062|Saint Charles|2009-08-01|9999-12-31|
