PROVIDER_ID|SPECIALTY_CD|EFFECTIVE_DT|TERM_DT
000000010005^EHI0NA|INTMED|1993-09-22|
000000010007^EHI0NA|INTMED|1985-09-11|
000000010008^EHI0NA|INTMED|1983-09-14|
000000010009^EHI0NA|INTMED|1984-09-12|
000000010010^EHI0NA|INTMED|1988-09-15|
000000010012^EHI0NA|INTMED|1988-01-01|
000000010015^EHI0NA|INTMED|1985-09-11|
000000010017^EHI0NA|INTMED|1900-01-01|
000000010018^EHI0NA|INTMED|1989-09-13|
000000010019^EHI0NA|INTMED|1981-09-16|
000000010021^EHI0NA|01|1986-02-17|
000000010024^EHI0NA|INTMED|1989-09-13|
000000010025^EHI0NA|INTMED|1900-01-01|
000000010027^EHI0NA|INTMED|1987-09-01|
000000010029^EHI0NA|INTMED|1997-08-20|
000000010030^EHI0NA|INTMED|1983-09-14|
000000010034^EHI0NA|INTMED|1995-08-23|
000000010035^EHI0NA|INTMED|1984-09-12|
000000010039^EHI0NA|INTMED|1994-01-01|
000000010041^EHI0NA|INTMED|1984-09-12|
000000010042^EHI0NA|INTMED|1987-09-16|
000000010047^EHI0NA|01|1988-07-08|
000000010048^EHI0NA|01|2004-07-10|
000000010051^EHI0NA|INTMED|1998-08-26|
000000010854^EHI0NA|01|2001-07-13|
000000011298^EHI0NA|INTMED|1996-08-21|
000000012274^EHI0NA|INTMED|1994-08-24|
000000012378^EHI0NA|INTMED|1989-09-13|
000000012459^EHI0NA|INTMED|1988-09-15|
000000012461^EHI0NA|INTMED|1997-08-20|
000000012462^EHI0NA|INTMED|1983-09-14|
000000013221^EHI0NA|GP|1900-01-01|
000000013246^EHI0NA|INTMED|1979-09-08|
000000013247^EHI0NA|01|1989-07-14|
000000013438^EHI0NA|01|1986-07-11|
000000013906^EHI0NA|INTMED|1984-09-01|
000000013949^EHI0NA|INTMED|1988-09-15|
000000013959^EHI0NA|01|2003-10-08|
000000013960^EHI0NA|01|2004-07-01|
000000013961^EHI0NA|01|2004-07-01|
000000013962^EHI0NA|01|2004-07-01|
000000014007^EHI0NA|INTMED|1976-06-16|
000000014010^EHI0NA|INTMED|1998-08-26|
000000014017^EHI0NA|INTMED|1986-09-10|
000000014031^EHI0NA|01|2002-07-12|
000000014049^EHI0NA|INTMED|1997-08-20|
000000014077^EHI0NA|INTMED|1982-09-01|
000000014105^EHI0NA|INTMED|2010-09-01|
000000014142^EHI0NA|INTMED|2017-01-11|
000000014371^EHI0NA|01|1992-07-10|
000000014878^EHI0NA|01|2000-07-14|
000000014900^EHI0NA|INTMED|2011-05-13|
000000014988^EHI0NA|01|1999-07-09|
000000015190^EHI0NA|01|1993-07-09|
000000015193^EHI0NA|01|1996-07-12|
000000015194^EHI0NA|01|1995-07-14|
000000015199^EHI0NA|01|1981-07-10|
000000015200^EHI0NA|01|1994-07-08|
000000015202^EHI0NA|01|1983-07-08|
000000015323^EHI0NA|01|2000-07-14|
000000015324^EHI0NA|01|1992-07-10|
000000015381^EHI0NA|INTMED|1983-09-14|
000000015756^EHI0NA|INTMED|1996-08-21|
000000015761^EHI0NA|01|1997-07-11|
000000015780^EHI0NA|INTMED|1900-01-01|
1003103847AA^EHI0NA|01|2014-01-01|
1003136276AB^EHI0NA|INTMED|1900-01-01|
1003929985AA^EHI0NA|INTMED|1997-01-01|
1003962820AA^EHI0NA|01|2006-07-20|
1003987678AA^EHI0NA|INTMED|1986-09-10|
1013021435AC^EHI0NA|INTMED|1996-08-21|
1013950070AA^EHI0NA|INTMED|1995-01-01|
1023025780AA^EHI0NA|INTMED|1998-08-26|
1023079928AA^EHI0NA|INTMED|1900-01-01|
1023100773AC^EHI0NA|01|2000-01-01|
1023129954AA^EHI0NA|INTMED|1993-09-22|
1023218757AB^EHI0NA|01|2010-12-04|
1033229935AA^EHI0NA|01|1993-01-01|
1033525852AA^EHI0NA|01|1900-01-01|
1043214778AB^EHI0NA|INTMED|2000-01-01|
1043284730AC^EHI0NA|01|2014-12-01|
1043444342AA^EHI0NA|01|2012-07-01|
1053355206AA^EHI0NA|01|2001-01-01|
1053421065AA^EHI0NA|INTMED|1995-08-23|
1053421875AA^EHI0NA|01|2001-01-01|
1053496745AA^EHI0NA|INTMED|1990-09-12|
1053516294AA^EHI0NA|INTMED|2008-08-25|
1053517656AB^EHI0NA|INTMED|2010-08-16|
1073506176AB^EHI0NA|01|1993-02-16|
1073558896AA^EHI0NA|01|2006-01-01|
1073654091AA^EHI0NA|01|2008-12-03|
1083913479AA^EHI0NA|01|2015-04-02|
1093154254AA^EHI0NA|INTMED|2016-08-16|
1093709057AB^EHI0NA|01|2004-07-09|
1093732026AA^EHI0NA|INTMED|1992-09-16|
1093785982AA^EHI0NA|01|2002-04-12|
1104918457AA^EHI0NA|01|1994-01-01|
1114978483AB^EHI0NA|INTMED|2001-08-21|
1124007653AA^EHI0NA|01|1997-01-01|
1124052808AB^EHI0NA|INTMED|2002-08-20|
1124095716AB^EHI0NA|INTMED|1900-01-01|
1134347347AC^EHI0NA|INTMED|2007-08-29|
1134440969AC^EHI0NA|01|2013-07-27|
1144214610AA^EHI0NA|01|2001-07-13|
1144457169AA^EHI0NA|01|1900-01-01|
1144633819AA^EHI0NA|01|2017-04-17|
1154328722AC^EHI0NA|01|1999-07-09|
1154334977AB^EHI0NA|01|1995-01-01|
1154612588AA^EHI0NA|01|2014-01-01|
1154625887AB^EHI0NA|01|1995-01-01|
1164416145AA^EHI0NA|INTMED|1996-08-21|
1164466645AA^EHI0NA|INTMED|1999-01-01|
1164534434AA^EHI0NA|01|1993-02-16|
1174565568AB^EHI0NA|INTMED|1900-01-01|
1174572762AA^EHI0NA|01|2004-12-17|
1174690630AA^EHI0NA|01|2006-01-01|
1174713564AA^EHI0NA|01|2009-01-01|
1174713564AC^EHI0NA|01|2009-01-01|
1184608689AA^EHI0NA|INTMED|1900-01-01|
1184618415AA^EHI0NA|01|1997-07-11|
1184666117AA^EHI0NA|INTMED|1992-01-01|
1184698987AB^EHI0NA|INTMED|1981-09-16|
1184721219AA^EHI0NA|01|2005-01-01|
1184758617AA^EHI0NA|GP|1900-01-01|
1184758617AB^EHI0NA|01|1900-01-01|
1194014308AA^EHI0NA|01|2014-07-22|
1194732842AA^EHI0NA|INTMED|1997-08-20|
1194806497AA^EHI0NA|INTMED|1999-08-24|
1194954099AA^EHI0NA|INTMED|1900-01-01|
1205804796AA^EHI0NA|INTMED|2000-08-22|
1205849569AA^EHI0NA|INTMED|1994-01-01|
1215080312AA^EHI0NA|INTMED|1987-09-16|
1215197173AB^EHI0NA|01|1900-01-01|
1225058308AD^EHI0NA|INTMED|1900-01-01|
1225102262AC^EHI0NA|01|2011-07-13|
1225162779AA^EHI0NA|GP|1900-01-01|
1225162779AB^EHI0NA|01|1900-01-01|
1225200769AA^EHI0NA|01|2008-06-01|
1225349111AA^EHI0NA|01|2013-07-01|
1235107012AA^EHI0NA|01|1900-01-01|
1235245481AC^EHI0NA|INTMED|1900-01-01|
1235365776AA^EHI0NA|01|2012-07-01|
1235579012AA^EHI0NA|GMED|1900-01-01|
1245204338AA^EHI0NA|INTMED|2008-10-16|
1245236884AD^EHI0NA|INTMED|1994-08-24|
1245349380AA^EHI0NA|INTMED|1983-09-14|
1255320578AA^EHI0NA|01|2003-07-11|
1265421218AA^EHI0NA|INTMED|1998-08-26|
1265444608AA^EHI0NA|INTMED|1999-08-24|
1265477517AB^EHI0NA|01|1990-01-01|
1265597397AA^EHI0NA|01|1900-01-01|
1275524290AD^EHI0NA|01|2010-07-22|
1275546947AA^EHI0NA|01|2005-01-01|
1285607135AA^EHI0NA|INTMED|1900-01-01|
1285612242AB^EHI0NA|INTMED|1900-01-01|
1285627331AA^EHI0NA|01|1989-07-14|
1285745257AA^EHI0NA|01|1980-07-11|
1285846055AA^EHI0NA|INTMED|2007-08-14|
1295725174AB^EHI0NA|01|2002-07-12|
1295728988AA^EHI0NA|01|2001-07-13|
1295812725AA^EHI0NA|INTMED|2000-10-18|
1295998748AA^EHI0NA|01|2012-11-09|
1306027297AA^EHI0NA|01|2013-01-01|
1306830492AA^EHI0NA|INTMED|1997-08-20|
1306907738AA^EHI0NA|INTMED|1995-01-01|
1316034143AA^EHI0NA|01|2006-12-08|
1316998503AA^EHI0NA|INTMED|1996-08-21|
1326006511AA^EHI0NA|INTMED|1977-06-22|
1326030586AA^EHI0NA|01|1995-07-01|
1326063991AC^EHI0NA|01|2004-07-16|
1326080276AA^EHI0NA|GMED|2004-01-01|
1326335159AA^EHI0NA|01|1900-01-01|
